关键控制系统	critical control system
广域安稳控制	wide area emergency control
汽轮机监视仪表	汽轮机监视仪表系统
法制	enforcement
出口继电器	跳闸继电器
混合型固态断路器	hybrid circuit breaker
B树	balanced tree
线图	graph
内能	热力学能
质子交换膜燃料电池	聚合物电解质燃料电池
质子交换膜燃料电池	固体高分子燃料电池
信息可视化	information visualization
复型	复型金相
宏观	磁流体
高压直流输电换流器	电网换相换流器
低油压保护	润滑油压过低保护
二回路系统	蒸汽和动力转换系统
玻璃窑炉	电极玻璃熔化炉
LISP语言	list processing
分辨率	resolution
化学电源	化学电池
化学电源	电化学电池
统包油浸纸绝缘电缆	带绝缘电缆
锅炉炉膛	燃烧室
调节汽阀进入汽轮机第一级喷嘴汽室	汽柜
调节汽阀进入汽轮机第一级喷嘴汽室	汽室
线圈	动圈
毫弧度	mrad
直流单比电桥	惠斯登电桥
工程进度计划编制	plan
一次涂覆	预涂覆
按单因数轮换方式	网格法
汽轮机凝汽器抽真空一直到锅筒	汽包
PROLOG语言	programming in logic
成重力热管	闭式两相热虹吸管
无间隙金属氧化物避雷器	metal oxide surge arrester without gaps
主机间	机组段
统计指数SARFI	curve
功率范围	power range
收缩波道	tapered channel
种灯	冷阴极灯
电压互感器	voltage transformer
空间分集	spatial diversity
常规能源	传统能源
调试程序	排错程序
金属屏蔽笼	法拉第笼
奇点	平衡点
锅炉称层燃炉	火床炉
安全距离	安全净距
安全距离	安全间距
反应堆热工学	反应堆热工流体力学
双边交易市场	bilateral market
径向钻孔泵调速器	脉冲油泵
平均传输时间	tpd
大容量试验站	高电压强电流试验站
大容量试验站	大功率试验站
评价指标	属性
三重故障	triple outage
折向器	偏流器
障率	rate
三角高程测量	电磁波测距三角高程测量
因子	participation factor
横电磁波室	TEM小室
电缆	非径向电场型电缆
中性点经小电阻接地	大电流接地
中性点经小电阻接地	中性点有效接地
等触发角控制	按相控制
等触发角控制	分相控制
临时会议	特别会议
脉冲顺序分配器	节拍脉冲发生器
脉冲顺序分配器	顺序脉冲发生器
测量放大器	仪表放大器
测量放大器	数据放大器
绝缘电阻表	高阻表
绝缘电阻表	兆欧表
场景管理	Case管理
发电径流调节计算	水能计算
离子交换除盐	化学除盐
间接系统	混合式
恒流区	饱和区
附加励磁阻尼控制器	supplementary excitation damping controller
三级处理	高级处理
直流换流阀	可控硅阀
三次风	tertiary air
进支	支路k
起基本小系统	basic minimum power system
HTTP	secure hypertext transfer protocol
HTTP	hypertext transfer protocol
水冷铜坩埚	结晶器
可根据需要加配液压松土器	裂土器
项目财务评价	财务分析
安妮女王法令》	安娜女王法令
EoC	ethernet over coax
最大连续功率	maximum continuous rating
电力需求预测	电力负荷预测
换相缺口	commutation notch
蠕变疲劳交互作用	与时间相关的疲劳
蠕变疲劳交互作用	高温低周疲劳
肋墙法	肋拱法
二次电子崩	子崩
电动势	霍耳电动势
小小型	mini
参考地”	工作地
参考地”	信号地
锂离子蓄电池	lithium ion battery
大地坐标系	地理坐标系
阅读器	reader
确保操作人员正确进行电气操作	倒闸操作
财务评价	财务分析
简单晶格碳化物	间隙相
导体屏蔽	内屏蔽
距离继电器	阻抗继电器
地应力	岩体初始应力
地应力	绝对应力
地应力	原岩应力
铜的电解提取	电积
块式制动器	弹簧抱闸
ADC分辨率	resolution
太阳能发电	solar energy power generation
国际核保障监督	核保障
事故隐患	安全隐患
视频监视系统	视频监控系统
空气净化器	空气清洁器
分布式发电	分散式发电
分布式发电	分布式供电
个人电脑	个人计算机
外置式无极荧光灯	低频无极荧光灯
调制功能	直流输电系统的附加控制
调制功能	紧急功率支援
筒式磨煤机	钢球磨煤机
单位为乏	var
太阳能发电站	solar electric generating station
同步电动机	无刷直流电动机
校准误差	calibrating error
业扩接电	工作停电
数据仓库	data warehouse
独占性	专有性
独占性	垄断性
蒸汽激振	间隙激振
认可的	approved
控制用气	仪用气
检测盲区	非检测区
程序计数器	指令计数器
基本电费	两部制电价
基本电费	两部制计费方式
隐蔽型照明	暗槽灯
色散	dispersion
燃料电池主要由正极	氧化剂电极
燃料电池主要由正极	电池阴极
全寿命周期成本	全寿命周期费用
工程地质坑探	山地勘探
沼气池	厌氧消化器
成本定额管理	标准成本管理
塔式	tower type
能力	capability
电介质阻挡放电	介质阻挡电晕放电
电介质阻挡放电	无声放电
分类算法	排序算法
反应堆	核反应堆
单桥换流器	6脉动换流器
金属韧性	韧度
联轴器	靠背轮
反馈补偿	并联补偿
自耦减压起动器	起动补偿器
绿色照明计划	green lights program
两端	端对端
FTP	file transfer protocol
FTU	feeder terminal unit
微波加热器	微波施加器
大扰动稳定计算	暂态稳定计算
电力消费强度	可比价格
系统	静止无功补偿系统
系统	交流励磁机他励可控整流器励磁系统
随动系统	跟随系统
水锤现象	水击
该谱线组合	谐波子组
沉浸感	immersion
控制器	调节器
景观照明	夜景照明
风干生物质	吸附水分
充裕控制	adequacy control
预编码	precoding
想象性	imagination
金属化电容器	metallized capacitor
大修停运	major overhaul outage
转换	transformation
远方跳闸式	直接跳闸式
操作故障	switching failure
过冷奥氏体转变图	C曲线
过冷奥氏体转变图	CCT曲线
过冷奥氏体转变图	S曲线
过冷奥氏体转变图	时间－温度转变曲线
活度A	衰变率
冷却设施	堆芯捕集器
策划	plan
自部分电容	导体对地的自电容
紊流	湍流
传感器	变换器
传感器	advanced sensor
最大需量值	合同最大需量值
最大需量值	核定最大需量值
细颗粒物	PM2
细颗粒物	二次污染物
离岸式	offshore devices
过程控制采集站	过程站
热力系统	汽水系统
平流式沉淀池	卧式沉淀池
消光法	光电颗粒分析仪法
相干发光源	coherent light source
经燃烧器送入炉膛	燃烧室
工程师站	engineering station
配电变压器	子母变压器
紧急控制	emergency control
BOA	basic office automation
近场	似稳场
近场	感应场
电子式互感器	光电互感器
水平围绕管圈（拉姆辛型管圈	螺旋围绕管圈
PMOS集成逻辑门	PMOS集成门
模型空化系数	临界空化系数
它由牵引汽车	拖车头
液体绝缘材料	绝缘油
通信型子站	通信处理机
电子脱扣器	智能脱扣器
横断面测量	横剖面测量
冷却水系统	湿式冷却水系统
拉筋	拉金
回流线	负馈电线
最大容量	maximum capacity of a unit
国外	蜡烛过滤器
递阶结构	层次结构
万用表	多用表
万用表	繁用表
七段字形显示器	七段数码管
常规法甩负荷试验	甩电负荷试验
关联分析	association analysis
